Reference, Value, Footprint,
1,AMC7812SPAPR,Housings_DFN_QFN:QFN-64-1EP_9x9mm_Pitch0.5mm,296-36555-1-ND
1,LM78M05CT,TO_SOT_Packages_SMD:SOT-223,296-22950-2-ND
7,MC33079D,linear2-SO14,MC33079DR2GOSCT-ND
1,470u,Capacitors_Tantalum_SMD:TantalC_SizeD_EIA-7343_Reflow,478-4150-1-ND
1,0.33u,Capacitors_SMD:C_1206,1276-1138-1-ND
19,0.1u,Capacitors_SMD:C_0603,311-1088-1-ND
28,C(filtering),Capacitors_SMD:C_0603_HandSoldering,
72,10k,Resistors_SMD:R_0603,RR08P10.0KDCT-ND
4,R_PACK8,Resistors_SMD:R_Cat16-8,CAY16-103J8LFCT-ND
3,R_PACK4,Resistors_SMD:R_Cat16-4,CAY16-1002F4LFCT-ND
2,CONN_01X08,Pin_Headers:Pin_Header_Straight_1x08,
1,CONN_01X10,Pin_Headers:Pin_Header_Straight_1x10,
1,CONN_02X18,Pin_Headers:Pin_Header_Straight_2x18,
1,CONN_02X30,Pin_Headers:Pin_Header_Angled_2x30,S2111EC-30-ND
1,CONN_02X03,Pin_Headers:Pin_Header_Straight_2x03,
2,CONN_01X01,screw_terminals:keystone_7773,36-7773-ND
