Qty,partname,description,lib
0,"AMC7812SPAPR","","AMC7812SPAPR"
0,"C","Unpolarized capacitor","device"
0,"CONN_01X01","Connector 01x01","conn"
0,"CONN_01X08","Connector 01x08","conn"
0,"CONN_01X10","Connector 01x10","conn"
0,"CONN_02X03","Connector 02x03","conn"
0,"CONN_02X18","Connector 02x18","conn"
0,"CONN_02X30","Connector 02x30","conn"
0,"CP1","Polarised capacitor","device"
0,"LM78M05CT","Positive 0.5A 35V Linear Regulator, Fixed Output 5V, TO-220","regul"
0,"MC33079D","","linear2"
0,"R","Resistor","device"
0,"R_PACK4","4 resistors Pack","device"
0,"R_PACK8","8 resistors Pack","device"
